marque,info,type_carburant,kilometrage,annee,prix
21,432,1,8000,2023,46500
21,382,1,8800,2023,46560
0,298,2,14736,2022,46900
21,187,0,9500,2023,46990
3,124,0,8450,2023,46990
0,294,2,9900,2023,46990
0,294,2,100,2023,46999
17,226,0,5000,2023,47390
3,132,2,2500,2023,47990
21,189,0,10818,2022,47990
21,438,1,15000,2023,47990
21,189,0,9000,2022,48250
21,186,0,10,2023,48490
18,116,0,5000,2023,48555
21,189,0,10065,2022,48900
21,433,1,13644,2023,48900
0,54,1,86184,2021,48900
0,296,1,21186,2023,48900
0,48,1,15360,2022,48900
0,53,1,12148,2023,48990
21,168,0,6490,2023,49900
21,167,0,2000,2022,49900
0,47,1,15500,2022,49900
0,50,1,11600,2022,49900
0,49,2,9900,2022,49900
0,307,0,38875,2020,49900
21,168,0,6000,2022,49990
21,439,1,91705,2018,49990
3,125,0,5000,2024,51490
0,48,1,9900,2022,51900
0,42,0,9900,2024,51900
0,294,2,9900,2023,51900
21,382,1,5000,2023,52095
21,436,2,10,2023,52900
0,295,0,20555,2023,52990
0,300,0,15261,2023,52990
0,300,0,9382,2023,52990
21,70,1,8800,2023,53900
21,438,1,2200,2023,54600
21,168,0,7241,2023,54900
21,167,0,12800,2023,54900
0,47,1,9900,2023,54900
21,236,0,2750,2023,54990
21,441,0,107860,2020,54990
21,168,0,9500,2022,54990
21,438,1,100,2023,55090
21,188,0,5000,2023,55490
0,302,0,9900,2023,55900
21,189,0,6321,2023,55990
0,303,1,12784,2022,55990
0,48,1,9900,2024,55990
21,169,0,6487,2023,56000
0,309,1,19359,2023,56900
0,394,2,4226,2022,56900
0,306,0,36785,2021,56990
0,295,0,9000,2023,57139
0,303,1,9300,2022,57890
0,303,1,416,2022,57900
0,310,1,14800,2022,59900
21,168,0,1,2023,61590
0,303,1,9900,2023,62900
21,440,0,68185,2021,63990
21,168,0,4190,2023,63990
0,309,1,9900,2023,64500
0,309,1,9900,2022,64900
21,190,0,8000,2023,65490
21,409,0,39087,2021,38990
18,234,1,14700,2021,38990
21,417,2,8000,2023,38990
21,177,0,10767,2023,38990
21,184,0,10000,2022,38990
21,428,1,23724,2022,38990
21,69,0,56364,2022,38990
0,41,0,25086,2022,38990
0,285,1,11692,2022,38990
0,285,1,11912,2022,38990
0,42,0,19936,2023,38990
21,383,1,100,2024,39050
21,417,2,10587,2022,39300
21,177,0,8000,2023,39490
21,177,0,9900,2023,39490
21,156,1,33574,2023,39490
3,75,2,2000,2024,39790
18,118,0,62339,2021,39900
21,186,0,10000,2022,39900
0,24,1,9033,2022,39900
0,284,1,12549,2023,39900
0,30,1,9900,2022,39900
21,428,1,22154,2022,39950
21,392,1,95377,2019,39990
21,417,2,6043,2023,39990
21,188,0,8313,2022,39990
0,284,1,11830,2022,39990
21,428,1,8871,2022,40300
21,178,0,7500,2023,40490
21,372,2,10,2023,40500
0,279,1,9900,2023,40500
21,372,2,8000,2023,40650
21,390,1,10000,2023,40800
21,181,0,200,2023,40900
3,227,1,7500,2023,40900
21,148,2,9503,2023,40990
21,384,1,9000,2023,40990
21,139,0,8648,2023,40990
21,387,2,1000,2023,40990
21,382,1,20030,2023,40990
0,50,1,17655,2022,40990
0,22,2,9000,2023,41046
3,132,2,432,2022,41900
18,216,1,22768,2022,41900
0,282,1,9900,2023,41900
0,295,0,33718,2021,41900
21,70,1,24587,2023,41949
21,174,0,7700,2023,41990
21,372,2,9500,2023,41990
21,436,2,28130,2023,41990
21,139,0,4500,2023,41990
17,80,1,200,2023,41990
21,100,1,8815,2023,41990
21,431,1,10000,2023,42490
21,431,1,5000,2023,42690
21,174,0,8000,2023,42890
21,432,1,28236,2023,42900
18,117,0,10,2023,42900
21,181,0,2900,2023,42900
21,183,0,8000,2023,42900
0,34,1,17650,2022,42900
21,412,0,25630,2022,42950
21,417,2,8690,2023,42990
21,178,0,1,2023,42990
21,188,0,13055,2022,42990
0,292,1,14292,2022,42990
21,178,0,7035,2023,43200
21,418,2,1542,2023,43690
21,428,1,15000,2023,43700
21,445,1,10,2023,43790
21,386,2,10,2023,43790
0,284,1,9900,2022,43900
0,284,1,9900,2023,43900
3,75,2,1500,2023,43990
21,372,2,1500,2023,43990
3,75,2,145,2023,43990
3,75,2,5000,2023,43990
21,411,0,8000,2023,43990
21,183,0,5100,2023,44250
21,183,0,6500,2023,44500
17,405,0,6000,2023,44590
0,34,1,100,2023,44590
21,415,2,15,2023,44690
0,35,2,55688,2020,22990
0,29,1,68378,2019,22990
0,17,2,29500,2021,22990
0,18,2,27431,2021,22990
9,235,2,45427,2020,22990
21,333,2,15863,2022,23300
21,331,2,20893,2022,23350
21,396,2,9348,2021,23490
21,424,1,109672,2020,23490
0,288,2,80882,2018,23490
21,421,2,80364,2019,23600
21,400,2,18300,2022,23690
17,228,0,77452,2020,23800
21,143,2,50422,2019,23830
21,159,1,97691,2023,23920
18,205,2,10000,2023,23950
21,268,2,9266,2023,23955
21,268,2,12045,2023,23990
17,64,2,7923,2023,23990
21,333,2,23870,2022,23990
21,247,2,33208,2021,23990
21,336,2,14865,2023,23990
21,336,2,15276,2023,23990
21,248,2,4811,2022,23990
21,361,2,58230,2021,23990
21,361,2,54663,2020,23990
17,72,2,16251,2022,23990
17,193,2,5354,2023,23990
17,72,2,49345,2021,23990
0,31,2,32263,2021,23990
21,171,0,30816,2021,23990
21,327,2,17480,2023,23990
21,327,2,18579,2023,23990
17,64,2,11832,2023,23990
21,248,2,29617,2023,23990
21,334,2,12258,2022,23990
0,36,2,40422,2019,23990
15,5,1,43092,2021,23990
18,205,2,10,2023,24200
21,397,2,17726,2022,24350
17,222,2,11861,2022,24490
18,206,2,13357,2022,24490
21,338,2,17488,2022,24490
17,73,2,79237,2018,24490
17,228,0,38265,2021,24900
17,63,2,5689,2023,24900
21,330,2,19173,2022,24900
21,134,2,18105,2022,24900
21,135,2,17810,2022,24900
21,266,2,1500,2023,24900
21,367,2,59179,2020,24900
21,366,2,64419,2021,24990
21,363,2,62663,2019,24990
21,380,1,86001,2019,24990
21,335,2,13164,2023,24990
21,338,2,19896,2022,24990
21,134,2,5900,2022,24990
21,337,2,12768,2022,24990
18,120,2,3925,2022,24990
21,338,2,23415,2022,24990
21,149,2,47993,2020,24990
0,287,2,41442,2018,24990
0,31,2,45875,2023,24990
21,268,2,1600,2023,25200
21,335,2,10964,2023,25445
21,335,2,15582,2023,25490
21,364,2,38245,2019,25490
21,149,2,63187,2021,25490
21,134,2,12422,2023,25490
21,364,2,57880,2021,25750
21,365,2,30183,2021,25800
17,222,2,9650,2023,25800
21,400,2,11734,2022,25900
21,146,2,27872,2021,25900
21,361,2,36138,2021,25900
21,356,2,3866,2023,25900
21,339,2,18220,2023,25990
21,340,2,21298,2023,25990
21,339,2,17594,2022,25990
21,429,1,116080,2022,25990
21,400,2,17933,2022,25990
21,377,1,67919,2019,25990
21,400,2,19846,2022,25990
21,157,0,52770,2020,25990
21,385,2,42163,2020,25990
21,356,2,12407,2023,25990
21,68,1,69561,2018,25990
21,170,0,22400,2021,25990
21,170,0,20644,2021,25990
21,154,1,72960,2020,25990
21,364,2,42982,2020,25990
21,134,2,19000,2022,25990
21,423,1,105395,2019,25990
21,420,2,90243,2019,25990
21,400,2,10082,2022,25990
21,414,2,44683,2021,25990
21,399,2,19681,2022,25990
0,274,1,55721,2021,25990
0,14,2,5377,2022,25990
15,4,2,11325,2021,25990
21,399,2,17096,2022,26300
21,96,1,109104,2019,26350
0,276,1,71404,2021,26490
0,51,1,104124,2017,26490
21,399,2,12116,2023,26790
17,83,1,52246,2020,26900
18,217,1,81455,2017,26900
0,40,2,53119,2019,26900
0,290,2,55548,2020,26900
18,208,2,2500,2023,26990
21,362,2,38378,2021,26990
21,176,0,25283,2021,26990
21,364,2,25905,2020,26990
21,96,1,91307,2019,26990
21,157,0,35426,2020,26990
21,339,2,21800,2023,26990
21,399,2,5406,2023,26990
17,228,0,29336,2021,26990
21,363,2,50834,2019,26990
21,399,2,27222,2023,26990
21,399,2,18616,2023,26990
21,335,2,900,2023,26990
0,281,2,17750,2022,26990
0,281,2,13316,2022,26990
0,52,1,88711,2018,26990
1,163,1,58424,2020,26990
1,1,1,35530,2022,26990
15,10,1,60932,2020,26990
21,381,1,41743,2020,27300
21,335,2,10,2023,27390
21,335,2,10,2023,27390
21,136,2,10000,2023,27400
21,379,1,40762,2021,27410
21,368,2,7729,2022,27490
21,398,2,10000,2023,27490
19,318,2,3500,2023,27580
21,404,2,16511,2022,27600
21,464,0,10,2023,27665
21,423,1,94799,2019,27687
21,180,0,47006,2020,27850
21,398,2,10,2024,27900
18,323,1,120532,2020,27900
21,404,2,10070,2022,27990
21,149,2,34024,2021,27990
21,378,1,73998,2021,27990
0,38,2,63026,2020,27990
21,400,2,16700,2022,27990
21,444,1,86724,2020,27990
0,297,2,90240,2020,27990
0,27,1,10623,2022,27990
0,34,1,92331,2019,27990
16,388,1,71288,2011,27990
21,404,2,16602,2022,27995
21,97,1,132140,2019,27995
21,335,2,100,2023,28100
21,370,2,20431,2022,28150
21,404,2,15000,2022,28150
21,267,2,10,2023,28400
21,335,2,5000,2023,28490
21,157,0,53332,2020,28490
21,91,1,8000,2023,28657
21,423,1,109870,2018,28774
21,339,2,400,2023,28790
3,127,2,23200,2021,28800
21,426,1,54589,2021,28900
21,180,0,19366,2020,28900
18,117,0,28318,2021,28900
21,172,0,35042,2020,28990
21,152,1,11031,2022,28990
21,339,2,5419,2023,28990
21,399,2,25600,2024,28990
21,346,2,5000,2024,28990
7,95,0,89926,2021,28990
21,403,2,20451,2023,28990
18,209,2,20253,2022,28990
21,376,1,23000,2022,28990
21,400,2,6000,2023,28990
0,31,2,7723,2022,28990
21,190,0,1800,2023,65700
21,230,0,13000,2022,65900
21,190,0,990,2023,66500
21,190,0,7000,2023,66900
0,309,1,10300,2023,66900
0,461,0,27218,2021,66990
0,304,1,15086,2022,66990
21,231,0,10558,2023,67900
0,461,0,18082,2020,67900
0,308,0,16667,2023,67990
21,190,0,5000,2023,68990
0,310,1,9900,2023,69900
21,164,1,495,2023,69990
0,461,0,14102,2022,69990
21,441,0,49085,2020,73990
0,55,1,13250,2023,74900
21,101,1,12352,2021,74990
21,101,1,9450,2021,77990
0,304,1,9900,2023,82500
0,311,0,9900,2023,83900
0,312,0,32554,2021,86900
0,310,1,100,2023,88900
0,314,0,15300,2022,99900
21,441,0,7200,2023,99990
21,441,0,10000,2023,99990
21,441,0,11000,2023,101400
21,441,0,6000,2023,101990
21,441,0,5000,2023,103990
0,313,0,23276,2021,105900
0,315,0,9900,2023,105900
0,460,0,10120,2022,117900
0,289,2,47671,2020,33990
0,293,2,28819,2020,33990
0,292,1,51917,2023,33990
12,133,1,77338,2022,33990
21,355,2,5000,2023,34235
3,131,1,5015,2022,34490
21,403,2,9390,2022,34690
17,71,2,5000,2023,34695
